,PUNG00048D1,,,,,,,,,,Date:,Mei 2020,,,,,,,,,,,,,
T,P,,Barite,,BHPMP,,,,,,MeOH (STB),0,,,,,,,,,,,,,
°F,psia,SI,Delta SI,mg/L*,(mg/l),,,,,,MEG(STB),0,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.4,180,-0.5424261035169877,0.0005280029417843446,0,0,,,,,,,,,,,,,,,,,,,,
181.58,180,-0.5429541064587721,0,0,0,,,,,,,,,,,,,,,,,,,,
User Input (T and P):,,,,,,,,,,,,,,,,,,,,,,,,,
T=,77,P=,14.699999999999818,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,106.22222222222223,P=,790.844444444444,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,135.44444444444446,P=,1566.9888888888881,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,164.66666666666669,P=,2343.133333333333,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,193.88888888888889,P=,3119.2777777777774,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,223.11111111111111,P=,3895.422222222222,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,252.33333333333334,P=,4671.566666666667,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,281.55555555555554,P=,5447.711111111111,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,310.77777777777777,P=,6223.855555555556,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
T=,340,P=,7000,SI=,,Delta SI=,,,,,,,,,,,,,,,,,,,
*This is the amount of barite that would have to precipitate at the T and P for the brine to be at equilibrium with barite solid.,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
