Well(s):,PUNG00048D1,,,,,,,MEG(STB),0,,Date:,Mei 2020,MeOH (STB),0,,,,,,,,,,,
Ta,Pa,Calcite,,,,NTMP,"pH after
pptation",,Dolomite,,,,,,,,,,,,,,,,
°F,psia,pH,SI,Delta SI,mg/L,(mg/l),,Is P>Bpt?,SI,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.4,180,7.048829786667536,1.6274824107141403,-0.0014025777070341139,661.3891495565283,1.6137191572836458,6.7449510024878485,Yes,3.63304204819404,,,,,,,,,,,,,,,,
181.58,180,7.049257032761285,1.6288849884211745,0,661.5223758720343,1.6274667525970004,6.7452561782690985,Yes,3.6362376056462704,,,,,,,,,,,,,,,,
"User Input (T, P, and CO2%)a,b:",,,,,,,bNote:  aH2O ={(PH2O over brine)/(Ppure H2O at T and P)},,,,,,,,,,,,,,,,,,
T=,77,P=,14.699999999999818,CO2%=,1.04,SI=,,Delta SI=,,pH =  ,,,,,,,,,,,,,,,
T=,106.22222222222223,P=,790.844444444444,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
T=,135.44444444444446,P=,1566.9888888888881,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
T=,164.66666666666669,P=,2343.133333333333,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
T=,193.88888888888889,P=,3119.2777777777774,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
T=,223.11111111111111,P=,3895.422222222222,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
T=,252.33333333333334,P=,4671.566666666667,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
T=,281.55555555555554,P=,5447.711111111111,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
T=,310.77777777777777,P=,6223.855555555556,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
T=,340,P=,7000,CO2%=,1.04,SI=,,Delta SI=,,pH =,,,,,,,,,,,,,,,
a  The cells in purple can be changed by users.,,,,,,,,,,,,,,,,,,,,,,,,,
"b  The calculations use the values of CO2% in Cells F15-F17 and H2S concentration from the ""Input""sheet to calculate",,,,,,,,,,,,,,,,,,,,,,,,,
" the B-H SI, SI at the specific condition, and DSI.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
