Well(s):,PUNG00048D1,,,,,,,,,,Date:,Mei 2020,,,,,,,,,,,,,
T,P,amSiO2,crSiO2,Mg-Silicate,Ca/Mg-Silicate,Fe-Silicate,,,,,,,,,,,,,,,,,,,
°F,psia,SI,SI,SI,SI,SI,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.4,180,,,,,,,,,,,,,,,,,,,,,,,,
181.58,180,,,,,,,,,,,,,,,,,,,,,,,,
*Ca/Mg-Silicate is Diopside (CaMgSI2O6),,,,,,,,,,,,,,,,,,,,,,,,,
*Fe-Silicate is Greenalite (Fe3Si2O5(OH4),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
